2004-03-14 0 0 0 0
2004-03-15 0 0 0 0
2004-03-16 0 0 0 0
2004-03-17 0 0 0 0
2004-03-18 0 0 0 0
2004-03-19 0 0 0 0
2004-03-20 0 0 0 0
2004-03-21 0 0 0 0
2004-03-22 0 0 0 0
2004-03-23 0 0 0 0
2004-03-24 0 0 0 0
2004-03-25 0 0 0 0
2004-03-26 0 0 0 0
2004-03-27 0 0 0 0
2004-03-28 0 0 0 0
2004-03-29 0 0 0 0
2004-03-30 0 0 0 0
2004-03-31 0 0 0 0
2004-04-01 0 0 0 0
2004-04-02 0 0 0 0
2004-04-03 0 0 0 0
2004-04-04 0 0 0 0
2004-04-05 0 0 0 0
2004-04-06 0 0 0 0
2004-04-07 0 0 0 0
2004-04-08 0 0 0 0
2004-04-09 0 0 0 0
2004-04-10 0 0 0 0
2004-04-11 0 0 0 0
2004-04-12 0 0 0 0
2004-04-13 0 0 0 0
2004-04-14 0 0 0 0
2004-04-15 0 0 0 0
2004-04-16 0 0 0 0
2004-04-17 0 0 0 0
2004-04-18 0 0 0 0
2004-04-19 0 0 0 0
2004-04-20 0 0 0 0
2004-04-21 0 0 0 0
2004-04-22 0 0 0 0
2004-04-23 0 0 0 0
2004-04-24 0 0 0 0
2004-04-25 0 0 0 0
2004-04-26 0 0 0 0
2004-04-27 0 0 0 0
2004-04-28 0 0 0 0
2004-04-29 0 0 0 0
2004-04-30 0 0 0 0
2004-05-01 0 0 0 0
2004-05-02 0 0 0 0
2004-05-03 0 0 0 0
2004-05-04 0 0 0 0
2004-05-05 0 0 0 0
2004-05-06 0 0 0 0
2004-05-07 0 0 0 0
2004-05-08 0 0 0 0
2004-05-09 0 0 0 0
2004-05-10 0 0 0 0
2004-05-11 0 0 0 0
2004-05-12 0 0 0 0
2004-05-13 0 0 0 0
2004-05-14 0 0 0 0
2004-05-15 0 0 0 0
2004-05-16 0 0 0 0
2004-05-17 0 0 0 0
2004-05-18 0 0 0 0
2004-05-19 0 0 0 0
2004-05-20 0 0 0 0
2004-05-21 0 0 0 0
2004-05-22 0 0 0 0
2004-05-23 0 0 0 0
2004-05-24 0 0 0 0
2004-05-25 0 0 0 0
2004-05-26 0 0 0 0
2004-05-27 0 0 0 0
